#MatchID,NumFilters,RAh,RAm,RAs,Decd,Decm,Decs,W3_F438W,W3_F438W_Sigma,W3_F555W,W3_F555W_Sigma,W3_F814W,W3_F814W_Sigma
1924432,5,13,37,00.949,-29,51,47.90,23.023,0.000,22.381,0.000,,
1938344,6,13,37,00.844,-29,52,03.01,18.705,0.000,18.423,0.000,,
1921999,2,13,37,00.405,-29,51,58.32,,,,,,
1920580,3,13,37,00.538,-29,51,50.08,,,24.051,0.000,22.323,0.000
1921735,3,13,37,00.364,-29,51,55.89,20.610,0.000,,,,
1926628,3,13,37,00.363,-29,51,55.66,,,20.432,0.000,,
1930767,10,13,37,00.521,-29,52,00.74,17.870,0.373,18.320,0.066,18.352,0.000
1928246,3,13,37,00.479,-29,52,00.11,20.019,0.000,,,,
1925779,3,13,37,00.627,-29,52,01.92,20.190,0.000,,,,
1930743,3,13,37,01.380,-29,51,50.26,24.852,0.000,23.899,0.000,23.463,0.000
1927620,2,13,37,00.385,-29,51,57.72,,,,,,
1936275,2,13,37,01.471,-29,51,59.12,,,,,,
1937846,2,13,37,00.793,-29,52,02.91,19.267,0.000,,,,
1925775,2,13,37,00.360,-29,51,55.15,22.688,0.000,,,,
1925317,3,13,37,00.366,-29,51,56.70,20.914,0.000,,,,
1921205,2,13,37,00.555,-29,51,49.79,24.443,0.000,,,,
1931273,2,13,37,00.717,-29,52,02.59,,,,,,
1932671,2,13,37,00.693,-29,52,02.46,,,,,,
1924654,8,13,37,00.569,-29,52,01.42,16.803,0.000,16.923,0.000,17.292,0.000
1934988,5,13,37,00.973,-29,52,03.23,18.725,0.000,,,,
1936452,3,13,37,01.166,-29,52,02.72,23.243,0.000,,,,
1938606,3,13,37,00.893,-29,52,03.21,21.300,0.000,,,,
1924177,2,13,37,00.821,-29,51,47.95,,,24.340,0.000,22.539,0.000
1936183,2,13,37,01.057,-29,52,03.13,,,,,,
1938191,3,13,37,01.005,-29,52,03.23,18.427,0.000,,,,
1936392,3,13,37,00.585,-29,52,01.64,18.826,0.000,,,,
1923805,3,13,37,00.372,-29,51,53.56,22.501,0.000,,,,
1934280,3,13,37,00.636,-29,52,02.13,21.018,0.000,,,,
1919754,2,13,37,00.611,-29,51,49.09,23.715,0.000,,,,
1939102,4,13,37,01.517,-29,51,58.05,24.101,0.000,23.520,0.000,22.997,0.000
1938545,2,13,37,01.549,-29,51,55.14,24.048,0.000,,,,
1925519,2,13,37,00.355,-29,51,56.45,21.990,0.000,,,,
2184078,3,13,37,00.839,-29,52,03.18,,,,,,
1918721,2,13,37,00.414,-29,51,51.95,23.161,0.000,,,,
1923353,3,13,37,00.362,-29,51,53.84,22.336,0.000,,,,
1930882,3,13,37,00.483,-29,52,00.46,20.572,0.000,,,,
1935169,2,13,37,00.771,-29,52,03.00,,,,,,
1927149,2,13,37,01.546,-29,51,54.10,23.217,0.000,,,,
1919988,5,13,37,00.455,-29,51,50.93,,,24.145,0.000,22.022,0.000
1928947,2,13,37,01.357,-29,52,01.38,24.321,0.000,,,,
2159726,3,13,37,00.409,-29,51,51.90,23.136,0.000,,,,
1934968,3,13,37,00.919,-29,52,03.41,22.018,0.000,,,,
1935705,4,13,37,01.556,-29,51,54.80,24.034,0.000,23.327,0.000,22.982,0.000
1922822,3,13,37,00.539,-29,52,01.36,,,,,,
1932356,4,13,37,00.557,-29,52,01.60,,,,,,
1929183,2,13,37,00.745,-29,52,03.00,21.490,0.000,,,,
1937570,2,13,37,00.671,-29,52,02.59,,,,,,
1925491,2,13,37,00.340,-29,51,56.15,21.536,0.000,,,,
1935560,3,13,37,00.696,-29,52,02.76,20.435,0.000,,,,
2184120,2,13,37,00.875,-29,52,03.42,,,,,,
1934166,3,13,37,00.646,-29,52,02.45,21.105,0.000,,,,
1938703,3,13,37,01.104,-29,52,03.25,21.886,0.000,,,,
1922444,2,13,37,00.345,-29,51,56.97,,,,,,
1933537,3,13,37,01.129,-29,52,03.17,22.390,0.000,,,,
1935313,3,13,37,00.891,-29,52,03.51,20.770,0.000,,,,
1920032,3,13,37,00.701,-29,51,48.14,,,23.820,0.000,22.939,0.000
1925420,2,13,37,00.336,-29,51,56.54,21.740,0.000,,,,
1926744,2,13,37,00.367,-29,51,58.23,18.928,0.000,,,,
1935487,2,13,37,00.807,-29,52,03.36,,,,,,
1925522,2,13,37,01.103,-29,51,47.70,23.657,0.000,,,,
