# object_id magnitude
1892.0 25.019
1894.0 23.597
1896.0 25.242
1898.0 25.539
1907.0 24.666
1912.0 26.22
1916.0 24.693
1917.0 24.72
1918.0 24.216
1919.0 25.132
1920.0 24.736
1923.0 22.022
1924.0 24.575
1925.0 24.904
1926.0 24.751
1928.0 25.458
1930.0 25.019
1931.0 24.713
1932.0 23.98
1933.0 24.641
1934.0 28.04
1935.0 23.823
1941.0 24.021
1943.0 24.951
1951.0 24.104
1952.0 24.742
1957.0 24.485
1959.0 24.633
1962.0 24.284
1964.0 23.853
1974.0 22.794
1978.0 25.085
1986.0 24.606
1987.0 23.879
1991.0 25.198
1993.0 24.719
1994.0 23.953
1999.0 25.043
2000.0 26.211
2001.0 24.187
2010.0 23.645
2011.0 22.995
2013.0 24.73
2015.0 24.405
2021.0 23.813
2023.0 25.322
2028.0 24.498
2030.0 25.736
2031.0 22.573
2034.0 25.213
2036.0 26.044
2037.0 24.55
2039.0 23.95
2042.0 24.426
2043.0 25.626
2045.0 24.309
2050.0 25.016
2054.0 25.135
2057.0 26.186
2061.0 24.14
2065.0 25.282
2067.0 23.888
2072.0 24.369
2075.0 24.027
2080.0 23.65
2084.0 23.915
2085.0 24.765
2088.0 25.301
2096.0 22.532
2099.0 24.465
2101.0 25.659
2103.0 24.678
2114.0 23.807
2121.0 23.228
2126.0 23.222
2128.0 23.863
2130.0 22.612
2134.0 24.474
2135.0 24.733
2138.0 24.685
2143.0 24.62
2144.0 25.27
2146.0 24.171
2147.0 23.427
2150.0 22.997
2151.0 23.617
2161.0 24.238
2163.0 24.476
2168.0 22.675
2171.0 22.817
2174.0 25.22
2178.0 23.596
2189.0 28.562
2192.0 24.412
2193.0 24.605
2195.0 25.099
2196.0 24.756
2206.0 23.521
2207.0 24.327
2208.0 24.209
2215.0 22.977
2219.0 24.533
2222.0 23.821
2226.0 24.815
2230.0 27.206
2233.0 27.234
2235.0 23.733
2237.0 24.329
2238.0 24.35
2239.0 24.833
2245.0 24.556
2250.0 25.489
2251.0 24.416
2254.0 32.817
2255.0 24.623
2259.0 24.225
2264.0 24.159
2277.0 24.888
2281.0 23.681
2283.0 26.24
2284.0 24.911
2286.0 24.945
2288.0 24.24
2292.0 23.487
2295.0 24.808
2297.0 24.395
2299.0 26.072
2301.0 23.844
2304.0 24.834
2310.0 25.393
2312.0 25.13
2314.0 25.041
2315.0 24.302
2317.0 25.583
2320.0 23.668
2321.0 23.984
2323.0 23.916
2324.0 24.068
2325.0 26.754
2327.0 25.457
2329.0 25.432
2330.0 24.801
2335.0 25.28
2337.0 24.146
2341.0 23.551
2342.0 25.594
2347.0 25.665
2349.0 25.104
2350.0 25.651
2355.0 25.785
2356.0 25.509
2362.0 25.216
2369.0 24.998
2372.0 25.371
2373.0 26.418
2378.0 23.425
2379.0 25.005
2380.0 24.532
2384.0 24.055
2385.0 24.114
2386.0 23.314
2388.0 24.394
2389.0 23.674
2395.0 23.816
2397.0 25.114
2399.0 24.557
2401.0 26.633
2403.0 24.034
2404.0 23.648
2407.0 23.444
2411.0 27.286
2414.0 27.37
2415.0 24.234
2416.0 24.58
2418.0 31.499
2425.0 23.633
2434.0 25.152
2439.0 25.888
2441.0 24.33
2446.0 22.824
2447.0 24.841
2449.0 24.137
2451.0 22.396
2456.0 24.4
2458.0 25.132
2460.0 24.672
2462.0 27.585
2463.0 24.866
2464.0 24.682
2466.0 25.011
2467.0 24.996
2468.0 25.083
2470.0 23.951
2472.0 23.811
2475.0 23.567
2477.0 25.082
2479.0 25.453
2480.0 24.455
2482.0 22.349
2483.0 24.693
2485.0 25.962
2486.0 25.035
2494.0 24.709
2497.0 23.731
2507.0 23.578
2513.0 25.881
2516.0 25.208
2517.0 23.732
2529.0 20.669
2530.0 24.573
2533.0 24.91
2534.0 23.446
2536.0 24.401
2541.0 25.265
2545.0 26.63
2547.0 23.299
2548.0 25.807
2550.0 23.541
2551.0 26.673
2553.0 24.001
2556.0 24.177
2558.0 25.188
2561.0 22.972
2563.0 20.572
2568.0 24.614
2569.0 23.605
2570.0 29.3
2571.0 24.374
2573.0 24.218
2575.0 24.919
2577.0 24.108
2582.0 25.884
2587.0 24.645
2589.0 24.384
2595.0 25.749
2596.0 26.374
2598.0 24.108
2599.0 24.705
2600.0 24.59
2602.0 24.01
2605.0 23.499
2611.0 24.612
2616.0 25.294
2617.0 24.074
2618.0 25.334
2619.0 23.598
2620.0 24.146
2621.0 24.419
2623.0 24.604
2625.0 22.631
2634.0 24.661
2635.0 23.387
2639.0 23.611
2645.0 24.611
2648.0 22.457
2649.0 24.568
2650.0 24.504
2655.0 27.722
2656.0 22.029
2661.0 24.134
2664.0 23.867
2666.0 24.631
2668.0 24.802
2669.0 24.149
2684.0 23.949
2688.0 25.092
2690.0 23.893
2691.0 24.225
2692.0 24.355
2696.0 25.175
2700.0 24.135
2702.0 23.535
2703.0 23.726
2711.0 24.168
2713.0 24.378
2718.0 24.521
2722.0 23.504
2724.0 25.459
2732.0 25.08
2738.0 26.075
2739.0 23.015
2742.0 23.185
2743.0 23.236
2745.0 24.484
2746.0 24.375
2748.0 23.639
2752.0 23.35
2757.0 22.757
2763.0 24.652
2764.0 23.877
2767.0 25.387
2770.0 25.562
2773.0 24.458
2775.0 24.831
2776.0 23.749
2782.0 22.934
2783.0 24.443
2785.0 25.23
2786.0 25.109
2787.0 24.223
2792.0 25.862
2793.0 25.124
2801.0 25.069
2814.0 25.724
2816.0 25.994
2817.0 23.337
2818.0 24.867
2819.0 25.046
2820.0 23.556
2821.0 25.374
2822.0 25.961
